                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3181,                 4.2569,                 3.2151,                0.36403,                0.01304,                0.00688,                0.00215,                 3.5684,                 3.8907,                 2.2841,              0.0033257,              0.0033257,              0.0033257
                      2,                  2.757,                   2.48,                 1.6226,                0.34454,                0.05162,                0.03681,                0.01547,                 2.9117,                  2.697,                 1.9147,              0.0066151,              0.0066151,              0.0066151
                      3,                 2.3394,                 2.0954,                   1.37,                0.44923,                0.09487,                0.06602,                0.03017,                 2.4596,                 2.3653,                 1.7141,              0.0098605,              0.0098605,              0.0098605
                      4,                 2.1088,                 1.8645,                 1.2573,                0.31084,                0.11306,                0.08379,                 0.0412,                 2.2183,                 2.2283,                 1.5545,               0.009802,               0.009802,               0.009802
                      5,                 1.9579,                 1.6885,                  1.194,                0.35169,                0.13374,                0.10158,                0.05035,                 2.0867,                 1.9983,                  1.485,               0.009736,               0.009736,               0.009736
                      6,                 1.8559,                 1.5747,                 1.1579,                0.27409,                  0.141,                0.11384,                0.05847,                 2.0198,                 1.8958,                 1.4323,                0.00967,                0.00967,                0.00967
                      7,                 1.7854,                 1.4905,                 1.1288,                0.35849,                0.15754,                0.12694,                0.06367,                 1.9496,                  1.768,                 1.3954,               0.009604,               0.009604,               0.009604
                      8,                 1.7375,                  1.435,                 1.1136,                0.30323,                0.16248,                 0.1328,                0.07014,                 1.9013,                 1.8004,                 1.3645,               0.009538,               0.009538,               0.009538
                      9,                 1.6995,                 1.3932,                 1.1026,                0.28174,                0.15984,                0.13742,                0.07238,                 1.8659,                 1.7992,                  1.347,               0.009472,               0.009472,               0.009472
                     10,                 1.6573,                 1.3417,                 1.0877,                0.32573,                0.17709,                0.14956,                0.07995,                 1.8097,                 1.6583,                 1.3238,               0.009406,               0.009406,               0.009406
                     11,                  1.628,                  1.315,                 1.0786,                0.40285,                0.18138,                0.15228,                  0.081,                 1.8222,                 1.6466,                 1.3244,                0.00934,                0.00934,                0.00934
                     12,                 1.6059,                 1.2901,                 1.0689,                 0.3429,                0.19287,                0.16068,                0.08561,                   1.77,                 1.5649,                 1.2982,               0.009274,               0.009274,               0.009274
                     13,                  1.596,                 1.2696,                 1.0632,                0.41856,                 0.1935,                0.16812,                0.08966,                 1.7543,                  1.533,                  1.295,               0.009208,               0.009208,               0.009208
                     14,                 1.5694,                 1.2446,                 1.0565,                0.44458,                  0.197,                0.17395,                0.09414,                 1.7409,                 1.4974,                 1.2728,               0.009142,               0.009142,               0.009142
                     15,                  1.552,                 1.2292,                 1.0519,                0.42332,                0.20707,                0.17531,                0.09513,                 1.7075,                 1.5286,                 1.2644,               0.009076,               0.009076,               0.009076
                     16,                 1.5499,                 1.2179,                 1.0496,                0.36471,                 0.2136,                0.18433,                0.09963,                 1.6826,                 1.5055,                  1.253,                0.00901,                0.00901,                0.00901
                     17,                 1.5245,                 1.1888,                 1.0375,                0.26688,                0.20917,                0.17628,                0.09662,                 1.6779,                 1.5201,                 1.2562,               0.008944,               0.008944,               0.008944
                     18,                 1.5172,                 1.1829,                  1.036,                0.35607,                0.21595,                 0.1907,                0.10433,                 1.6859,                 1.4088,                 1.2454,               0.008878,               0.008878,               0.008878
                     19,                  1.533,                 1.1907,                 1.0338,                0.36033,                0.22238,                0.19336,                0.10585,                 1.6836,                 1.4613,                 1.2258,               0.008812,               0.008812,               0.008812
                     20,                 1.5297,                  1.186,                 1.0258,                0.37671,                 0.2187,                 0.1925,                0.10514,                 1.6756,                 1.4394,                 1.2283,               0.008746,               0.008746,               0.008746
                     21,                 1.5221,                 1.1812,                 1.0218,                0.30697,                0.22735,                0.19861,                0.10888,                 1.6659,                 1.4282,                 1.2223,                0.00868,                0.00868,                0.00868
                     22,                 1.5097,                  1.171,                  1.014,                0.37443,                  0.227,                0.20154,                0.11069,                 1.6469,                 1.4058,                 1.2064,               0.008614,               0.008614,               0.008614
                     23,                 1.5058,                 1.1739,                 1.0141,                0.40465,                0.22276,                0.20052,                0.11104,                 1.6396,                 1.4064,                 1.2029,               0.008548,               0.008548,               0.008548
                     24,                 1.5001,                 1.1563,                 1.0096,                0.29483,                0.23454,                0.20718,                0.11385,                 1.6297,                 1.3649,                 1.1896,               0.008482,               0.008482,               0.008482
                     25,                 1.4916,                 1.1467,                 1.0076,                 0.3369,                0.23358,                0.21097,                0.11639,                 1.6315,                 1.3657,                 1.1921,               0.008416,               0.008416,               0.008416
                     26,                 1.4818,                 1.1378,                 1.0016,                0.33745,                0.23168,                 0.2131,                0.11766,                 1.6067,                  1.378,                 1.1793,                0.00835,                0.00835,                0.00835
                     27,                 1.4772,                 1.1295,                  1.001,                0.33207,                0.24315,                0.21529,                0.11868,                 1.5991,                 1.3199,                 1.1838,               0.008284,               0.008284,               0.008284
                     28,                  1.465,                 1.1233,                0.99698,                0.35288,                0.23954,                0.21464,                0.11909,                 1.6018,                 1.3789,                 1.1844,               0.008218,               0.008218,               0.008218
                     29,                 1.4569,                 1.1178,                0.99498,                0.30912,                0.25131,                0.21881,                0.12066,                 1.5925,                 1.3487,                 1.1704,               0.008152,               0.008152,               0.008152
                     30,                 1.4599,                 1.1052,                0.99359,                0.33477,                0.25036,                0.22138,                0.12298,                 1.5806,                 1.3285,                 1.1665,               0.008086,               0.008086,               0.008086
                     31,                 1.4521,                 1.1064,                0.99203,                0.37439,                0.24496,                0.21801,                0.12005,                 1.5903,                 1.3268,                 1.1655,                0.00802,                0.00802,                0.00802
                     32,                 1.4367,                 1.0906,                 0.9888,                0.34407,                0.24826,                0.22687,                0.12536,                 1.5757,                 1.2883,                 1.1595,               0.007954,               0.007954,               0.007954
                     33,                 1.4431,                 1.0921,                0.98386,                0.33332,                0.25135,                0.22497,                0.12472,                 1.5734,                 1.3247,                 1.1567,               0.007888,               0.007888,               0.007888
                     34,                 1.4347,                 1.0873,                0.98898,                0.34181,                 0.2523,                 0.2247,                0.12454,                 1.5861,                 1.3007,                 1.1705,               0.007822,               0.007822,               0.007822
                     35,                 1.4276,                 1.0756,                0.98356,                0.32682,                0.25356,                0.22922,                0.12756,                 1.5608,                 1.2806,                 1.1465,               0.007756,               0.007756,               0.007756
                     36,                 1.4284,                 1.0747,                0.98506,                 0.3429,                0.26192,                0.23245,                 0.1294,                 1.5639,                 1.2617,                 1.1533,                0.00769,                0.00769,                0.00769
                     37,                 1.4218,                 1.0705,                0.98294,                0.35069,                0.26133,                0.23429,                0.12941,                 1.5733,                  1.255,                 1.1505,               0.007624,               0.007624,               0.007624
                     38,                 1.4247,                 1.0667,                0.98005,                0.32724,                0.26442,                0.23317,                 0.1296,                 1.5525,                 1.2447,                 1.1386,               0.007558,               0.007558,               0.007558
                     39,                 1.4075,                  1.054,                0.98012,                 0.3388,                0.25746,                0.23475,                0.13122,                 1.5342,                 1.2489,                 1.1311,               0.007492,               0.007492,               0.007492
                     40,                 1.4101,                  1.056,                0.97845,                0.35562,                0.25444,                0.23415,                0.13047,                 1.5501,                 1.2505,                 1.1399,               0.007426,               0.007426,               0.007426
                     41,                 1.4104,                 1.0522,                0.97673,                0.36706,                0.25769,                0.23777,                0.13328,                 1.5359,                 1.2377,                 1.1347,                0.00736,                0.00736,                0.00736
                     42,                 1.4091,                 1.0497,                0.97595,                0.35599,                0.26467,                0.24299,                  0.136,                 1.5291,                  1.232,                 1.1351,               0.007294,               0.007294,               0.007294
